match, competition,date,position,minutes_played,total_actions,total_actions_successful,TAS_percent,goals,assists,shots,shots_on_target,SOT_percent,xG,passes,passes_accurate,PA_percent,long_passes,long_passes_accurate,LPA_percent,crosses,crosses_accurate,CA_percent,dribbles,dribbles_successful,DS_percent,duels,duels_won,DW_percent,aerial_duels,aerial_duels_won,ADW_percent,interceptions,losses,losses_own_half,LOH_percent,recoveries,recoveries_opp_half,ROPH_percent
Manchester City - Real Madrid 4:0,Europe. UEFA Champions League,5/17/23,LCB,30,16,15,94,0,0,0,0,0,0,11,11,100,0,0,0,0,0,0,0,0,0,5,4,80,0,0,0,1,0,0,0,2,1,50
Real Madrid - Manchester City 1:1,Europe. UEFA Champions League,5/9/23,RCB,96,60,40,67,0,0,0,0,0,0,39,31,79,4,1,25,0,0,0,0,0,0,15,8,53,3,2,67,2,11,6,55,6,0,0
Chelsea - Real Madrid 0:2,Europe. UEFA Champions League,4/18/23,LCB,48,32,25,78,0,0,0,0,0,0,20,19,95,4,4,100,0,0,0,0,0,0,8,6,75,3,3,100,1,2,2,100,2,0,0
Real Madrid - Chelsea 2:0,Europe. UEFA Champions League,4/12/23,LCB,24,11,6,55,0,0,0,0,0,0,5,4,80,0,0,0,0,0,0,0,0,0,3,2,67,0,0,0,2,3,2,67,2,0,0
Real Madrid - Liverpool 1:0,Europe. UEFA Champions League,3/15/23,LCB,96,50,38,76,0,0,0,0,0,0,40,35,88,7,3,43,0,0,0,1,1,100,4,3,75,1,1,100,5,6,5,83,5,1,20
Liverpool - Real Madrid 2:5,Europe. UEFA Champions League,2/21/23,LCB,96,60,50,83,0,0,1,0,0,0.02,46,44,96,5,4,80,0,0,0,0,0,0,8,6,75,2,0,0,5,4,3,75,10,1,10
RB Leipzig - Real Madrid 3:2,Europe. UEFA Champions League,10/25/22,"LB, LCB",94,71,60,85,0,0,0,0,0,0,56,53,95,3,3,100,0,0,0,0,0,0,11,7,64,2,1,50,1,4,0,0,10,2,20
Shakhtar Donetsk - Real Madrid 1:1,Europe. UEFA Champions League,10/11/22,RCB,101,84,66,79,1,0,3,1,33,0.13,59,54,92,4,2,50,0,0,0,0,0,0,16,10,63,6,4,67,10,6,1,17,14,6,43
Real Madrid - RB Leipzig 2:0,Europe. UEFA Champions League,9/14/22,RCB,94,71,64,90,0,0,2,0,0,0.33,60,59,98,7,6,86,0,0,0,0,0,0,5,4,80,2,2,100,2,3,3,100,9,0,0
Celtic - Real Madrid 0:3,Europe. UEFA Champions League,9/6/22,RCB,47,50,45,90,0,0,0,0,0,0,46,44,96,2,0,0,0,0,0,0,0,0,2,1,50,1,0,0,1,2,1,50,0,0,0
Real Madrid - Chelsea 2:3 (E),Europe. UEFA Champions League,4/12/22,"LCB, LCB3",128,140,104,74,1,0,4,1,25,0.41,101,90,89,9,6,67,1,0,0,2,1,50,24,11,46,4,3,75,5,12,2,17,13,2,15
Chelsea - Real Madrid 1:3,Europe. UEFA Champions League,4/6/22,"LCB, LCB3",97,100,88,88,0,0,0,0,0,0,87,84,97,8,6,75,0,0,0,2,0,0,7,2,29,1,1,100,1,3,1,33,7,4,57
Lille - Chelsea 1:2,Europe. UEFA Champions League,3/16/22,LCB3,98,73,56,77,0,0,1,0,0,0.16,55,47,85,3,2,67,0,0,0,0,0,0,8,4,50,3,1,33,2,8,3,38,3,0,0
Chelsea - Lille 2:0,Europe. UEFA Champions League,2/22/22,LCB3,95,87,67,77,0,0,0,0,0,0,67,58,87,11,7,64,0,0,0,0,0,0,11,7,64,6,4,67,8,8,3,38,7,0,0
Chelsea - Juventus 4:0,Europe. UEFA Champions League,11/23/21,LCB3,97,99,71,72,0,1,2,0,0,0.14,71,62,87,12,6,50,0,0,0,1,1,100,14,7,50,5,2,40,7,13,3,23,3,1,33
Malmö FF - Chelsea 0:1,Europe. UEFA Champions League,11/2/21,LCB3,94,135,104,77,0,0,1,0,0,0,103,88,85,13,8,62,0,0,0,2,2,100,23,14,61,7,5,71,5,18,6,33,14,1,7
Chelsea - Malmö FF 4:0,Europe. UEFA Champions League,10/20/21,LCB3,97,92,79,86,0,0,1,0,0,0,78,70,90,6,5,83,0,0,0,1,1,100,9,6,67,2,1,50,1,9,3,33,10,2,20
Juventus - Chelsea 1:0,Europe. UEFA Champions League,9/29/21,LCB3,96,114,101,89,0,0,1,0,0,0,99,94,95,3,1,33,0,0,0,0,0,0,9,6,67,2,1,50,3,5,2,40,10,5,50
Chelsea - Zenit 1:0,Europe. UEFA Champions League,9/14/21,LCB3,95,102,90,88,0,0,1,0,0,0.06,79,78,99,3,2,67,0,0,0,2,1,50,16,9,56,5,2,40,2,3,0,0,12,4,33
Manchester City - Chelsea 0:1,Europe. UEFA Champions League,5/29/21,LCB3,101,51,36,71,0,0,0,0,0,0,32,24,75,7,2,29,0,0,0,0,0,0,14,11,79,6,5,83,1,9,4,44,8,1,13
Chelsea - Real Madrid 2:0,Europe. UEFA Champions League,5/5/21,LCB3,95,59,42,71,0,0,1,1,100,0.03,38,33,87,4,2,50,0,0,0,0,0,0,11,5,45,4,3,75,3,7,3,43,2,1,50
Real Madrid - Chelsea 1:1,Europe. UEFA Champions League,4/27/21,LCB3,94,89,70,79,0,1,0,0,0,0,66,63,95,6,4,67,0,0,0,2,2,100,13,4,31,4,0,0,1,4,0,0,7,3,43
Chelsea - Porto 0:1,Europe. UEFA Champions League,4/13/21,LCB3,96,69,46,67,0,0,0,0,0,0,28,21,75,7,3,43,0,0,0,0,0,0,26,20,77,11,9,82,7,9,7,78,17,1,6
Porto - Chelsea 0:2,Europe. UEFA Champions League,4/7/21,LCB3,95,90,68,76,0,0,1,1,100,0.02,62,54,87,9,4,44,0,0,0,0,0,0,15,12,80,2,2,100,1,13,9,69,7,1,14
Chelsea - Atlético Madrid 2:0,Europe. UEFA Champions League,3/17/21,LCB3,95,63,45,71,0,0,2,0,0,0.04,38,33,87,6,4,67,0,0,0,1,0,0,17,11,65,1,0,0,4,7,3,43,7,3,43
Atlético Madrid - Chelsea 0:1,Europe. UEFA Champions League,2/23/21,LCB3,97,93,80,86,0,0,0,0,0,0,76,72,95,7,4,57,0,0,0,0,0,0,12,7,58,6,2,33,6,3,1,33,14,3,21
