match,competition,date,position,minutes_played,total_actions,total_actions_successful,TAS_percent,goals,assists,shots,shots_on_target,SOT_percent,xG,passes,passes_accurate,PA_percent,long_passes,long_passes_accurate,LPA_percent,crosses,crosses_accurate,CA_percent,dribbles,dribbles_successful,DS_percent,duels,duels_won,DW_percent,aerial_duels,aerial_duels_won,ADW_percent,interceptions,losses,losses_own_half,LOH_percent,recoveries,recoveries_opp_half,ROPH_percent
Manchester City - Internazionale 1:0,Europe. UEFA Champions League,6/10/23,"RAMF, RW",98,82,45,55,0,0,1,0,0,0.06,37,32,86,2,1,50,2,0,0,9,4,44,25,9,36,1,0,0,3,8,3,38,8,3,38
Manchester City - Real Madrid 4:0,Europe. UEFA Champions League,5/17/23,"RAMF, RWB",94,101,68,67,2,0,3,3,100,0.76,57,53,93,4,2,50,0,0,0,7,5,71,30,11,37,2,1,50,4,7,1,14,11,7,64
Real Madrid - Manchester City 1:1,Europe. UEFA Champions League,5/9/23,RW,96,94,53,56,0,0,0,0,0,0,55,48,87,2,1,50,2,1,50,5,2,40,24,5,21,1,0,0,5,12,5,42,7,3,43
Bayern München - Manchester City 1:1,Europe. UEFA Champions League,4/19/23,RAMF,99,80,42,53,0,0,0,0,0,0,36,28,78,4,3,75,1,0,0,6,4,67,28,13,46,0,0,0,5,13,7,54,6,4,67
Manchester City - Bayern München 3:0,Europe. UEFA Champions League,4/11/23,"RW, RWB",95,80,51,64,1,1,1,1,100,0.28,34,30,88,3,3,100,2,0,0,5,5,100,32,18,56,0,0,0,2,5,1,20,9,6,67
Manchester City - RB Leipzig 7:0,Europe. UEFA Champions League,3/14/23,"DMF, LW, RW",95,75,48,64,0,0,0,0,0,0,46,39,85,2,2,100,4,1,25,5,2,40,14,8,57,0,0,0,3,8,3,38,5,2,40
RB Leipzig - Manchester City 1:1,Europe. UEFA Champions League,2/22/23,RDMF,94,100,78,78,0,0,1,0,0,0.03,67,64,96,2,2,100,0,0,0,4,3,75,21,11,52,1,1,100,1,6,2,33,5,2,40
Manchester City - Sevilla 3:1,Europe. UEFA Champions League,11/2/22,"LCMF, LDMF, RCMF",36,60,48,80,0,0,0,0,0,0,52,47,90,4,3,75,1,1,100,0,0,0,3,1,33,0,0,0,0,4,1,25,4,3,75
Borussia Dortmund - Manchester City 0:0,Europe. UEFA Champions League,10/25/22,CF,48,59,45,76,0,0,0,0,0,0,47,42,89,2,1,50,1,1,100,1,0,0,5,2,40,0,0,0,0,7,0,0,2,1,50
København - Manchester City 0:0,Europe. UEFA Champions League,10/11/22,RCMF3,17,18,14,78,0,0,0,0,0,0,15,14,93,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,100,1,0,0
Manchester City - København 5:0,Europe. UEFA Champions League,10/5/22,"LCMF, LDMF",66,75,58,77,0,0,2,0,0,0.33,61,55,90,7,5,71,4,1,25,2,2,100,11,3,27,1,0,0,2,7,0,0,3,2,67
Manchester City - Borussia Dortmund 2:1,Europe. UEFA Champions League,9/14/22,LCMF,37,55,45,82,0,0,0,0,0,0,43,40,93,4,4,100,4,2,50,2,0,0,7,5,71,0,0,0,3,5,0,0,6,5,83
Sevilla - Manchester City 0:4,Europe. UEFA Champions League,9/6/22,"LCMF3, RCMF3, RWF",93,80,54,68,0,0,0,0,0,0,54,46,85,1,0,0,3,1,33,3,2,67,13,6,46,2,1,50,5,9,4,44,5,2,40
Real Madrid - Manchester City 3:1 (E),Europe. UEFA Champions League,5/4/22,"CF, LCMF, LCMF3, RW, RWB",134,127,76,60,0,1,1,1,100,0.21,65,58,89,2,1,50,3,1,33,7,2,29,34,13,38,1,0,0,4,12,3,25,8,3,38
Manchester City - Real Madrid 4:3,Europe. UEFA Champions League,4/26/22,RCMF3,95,94,72,77,1,0,1,1,100,0.15,58,54,93,2,2,100,2,0,0,4,3,75,22,13,59,3,0,0,4,6,1,17,8,2,25
