match,competition,date,position,minutes_played,total_actions,total_actions_successful,TAS_percent,goals,assists,shots,shots_on_target,SOT_percent,xG,passes,passes_accurate,PA_percent,long_passes,long_passes_accurate,LPA_percent,crosses,crosses_accurate,CA_percent,dribbles,dribbles_successful,DS_percent,duels,duels_won,DW_percent,aerial_duels,aerial_duels_won,ADW_percent,interceptions,losses,losses_own_half,LOH_percent,recoveries,recoveries_opp_half,ROPH_percent
Manchester City - Real Madrid 4:0,Europe. UEFA Champions League,2023-05-17,RCB,94,69,49,71,0,0,0,0,0,0,39,33,85,3,2,67,0,0,0,3,2,67,19,13,68,5,4,80,5,5,2,40,9,0,0
Chelsea - Real Madrid 0:2,Europe. UEFA Champions League,2023-04-18,RCB,95,58,32,55,0,0,0,0,0,0,33,27,82,6,3,50,0,0,0,0,0,0,10,5,50,3,2,67,10,14,8,57,6,1,17
Real Madrid - Chelsea 2:0,Europe. UEFA Champions League,2023-04-12,RCB,95,87,64,74,0,0,0,0,0,0,60,53,88,4,1,25,1,0,0,0,0,0,19,10,53,5,3,60,2,11,5,45,12,5,42
Real Madrid - Liverpool 1:0,Europe. UEFA Champions League,2023-03-15,RCB,96,62,41,66,0,0,0,0,0,0,39,31,79,4,1,25,0,0,0,1,1,100,16,8,50,4,1,25,4,10,5,50,8,2,25
Liverpool - Real Madrid 2:5,Europe. UEFA Champions League,2023-02-21,RCB,96,73,56,77,1,0,1,1,100,0.19,56,49,88,7,5,71,0,0,0,0,0,0,7,5,71,1,1,100,4,6,3,50,5,0,0
Real Madrid - Celtic 5:1,Europe. UEFA Champions League,2022-11-02,RCB,73,65,50,77,0,0,0,0,0,0,51,46,90,6,5,83,0,0,0,0,0,0,10,4,40,1,0,0,8,8,5,63,8,0,0
RB Leipzig - Real Madrid 3:2,Europe. UEFA Champions League,2022-10-25,RCB,94,93,63,68,0,0,1,0,0,0,65,56,86,5,2,40,1,0,0,4,1,25,18,7,39,2,0,0,5,12,7,58,7,2,29
Real Madrid - Shakhtar Donetsk 2:1,Europe. UEFA Champions League,2022-10-05,RCB,94,77,62,81,0,0,1,0,0,0.01,53,49,92,6,4,67,0,0,0,3,2,67,15,11,73,5,5,100,3,4,0,0,8,1,13
Celtic - Real Madrid 0:3,Europe. UEFA Champions League,2022-09-06,RCB,46,56,43,77,0,0,0,0,0,0,36,35,97,1,0,0,0,0,0,0,0,0,8,5,63,0,0,0,4,4,3,75,6,0,0
Liverpool - Real Madrid 0:1,Europe. UEFA Champions League,2022-05-28,RCB,100,87,67,77,0,0,0,0,0,0,59,53,90,12,6,50,0,0,0,1,0,0,19,13,68,3,3,100,6,10,5,50,14,1,7
Real Madrid - Manchester City 3:1 (E),Europe. UEFA Champions League,2022-05-04,RCB,126,89,56,63,0,0,0,0,0,0,48,41,85,10,3,30,0,0,0,3,2,67,27,11,41,6,2,33,2,8,2,25,9,2,22
Manchester City - Real Madrid 4:3,Europe. UEFA Champions League,2022-04-26,RCB,95,82,59,72,0,0,2,1,50,0.18,52,41,79,10,3,30,0,0,0,1,1,100,22,15,68,8,8,100,5,17,13,76,13,1,8
Chelsea - Real Madrid 1:3,Europe. UEFA Champions League,2022-04-06,RCB,65,55,39,71,0,0,2,2,100,0.23,37,29,78,6,1,17,0,0,0,0,0,0,9,5,56,1,1,100,3,7,5,71,5,1,20
Real Madrid - PSG 3:1,Europe. UEFA Champions League,2022-03-09,RCB,96,62,41,66,0,0,0,0,0,0,31,27,87,4,1,25,1,0,0,1,1,100,23,14,61,3,3,100,4,3,2,67,7,2,29
PSG - Real Madrid 1:0,Europe. UEFA Champions League,2022-02-15,RCB,95,79,47,59,0,0,0,0,0,0,44,35,80,7,3,43,0,0,0,2,1,50,20,10,50,0,0,0,11,11,8,73,8,1,13
Real Madrid - Internazionale 2:0,Europe. UEFA Champions League,2021-12-07,RCB,91,72,55,76,0,0,0,0,0,0,44,40,91,2,0,0,0,0,0,0,0,0,18,14,78,7,7,100,11,4,2,50,12,1,8
Sheriff - Real Madrid 0:3,Europe. UEFA Champions League,2021-11-24,RCB,96,83,66,80,0,0,1,0,0,0.15,58,51,88,6,3,50,0,0,0,0,0,0,19,14,74,6,5,83,3,9,4,44,11,3,27
Real Madrid - Shakhtar Donetsk 2:1,Europe. UEFA Champions League,2021-11-03,RCB,94,77,64,83,0,0,1,1,100,0.08,48,44,92,5,2,40,0,0,0,4,3,75,22,17,77,1,1,100,6,5,1,20,15,3,20
Shakhtar Donetsk - Real Madrid 0:5,Europe. UEFA Champions League,2021-10-19,RCB,87,68,53,78,0,0,0,0,0,0,36,35,97,0,0,0,0,0,0,3,2,67,23,15,65,5,3,60,6,3,3,100,16,3,19
Real Madrid - Sheriff 1:2,Europe. UEFA Champions League,2021-09-28,RCB,97,87,74,85,0,0,2,1,50,0.31,73,69,95,3,2,67,0,0,0,0,0,0,12,4,33,4,0,0,5,4,3,75,12,3,25
Internazionale - Real Madrid 0:1,Europe. UEFA Champions League,2021-09-15,RCB,94,76,57,75,0,0,1,0,0,0.25,56,50,89,5,3,60,1,0,0,0,0,0,13,7,54,3,2,67,8,6,3,50,9,1,11
Chelsea - Real Madrid 2:0,Europe. UEFA Champions League,2021-05-05,RCB3,95,95,75,79,0,0,0,0,0,0,74,63,85,7,2,29,1,0,0,2,1,50,17,11,65,2,1,50,2,8,4,50,8,2,25
Real Madrid - Chelsea 1:1,Europe. UEFA Champions League,2021-04-27,RCB3,94,99,76,77,0,1,0,0,0,0,65,59,91,6,2,33,0,0,0,4,0,0,26,15,58,4,4,100,7,7,3,43,8,3,38
Liverpool - Real Madrid 0:0,Europe. UEFA Champions League,2021-04-14,RCB,96,59,40,68,0,0,0,0,0,0,32,28,88,8,5,63,1,1,100,1,1,100,15,10,67,3,3,100,7,6,3,50,7,1,14
Real Madrid - Liverpool 3:1,Europe. UEFA Champions League,2021-04-06,RCB,95,75,49,65,0,0,0,0,0,0,36,31,86,8,4,50,0,0,0,1,1,100,21,15,71,8,6,75,8,11,5,45,14,3,21
Real Madrid - Atalanta 3:1,Europe. UEFA Champions League,2021-03-16,RCB3,32,18,13,72,0,0,0,0,0,0,9,8,89,0,0,0,0,0,0,0,0,0,6,4,67,0,0,0,2,0,0,0,0,0,0
