match,competition,date,position,minutes_played,total_actions,total_actions_successful,TAS_percent,goals,assists,shots,shots_on_target,SOT_percent,xG,passes,passes_accurate,PA_percent,long_passes,long_passes_accurate,LPA_percent,crosses,crosses_accurate,CA_percent,dribbles,dribbles_successful,DS_percent,duels,duels_won,DW_percent,aerial_duels,aerial_duels_won,ADW_percent,interceptions,losses,losses_own_half,LOH_percent,recoveries,recoveries_opp_half,ROPH_percent
Real Madrid - Liverpool 1:0,Europe. UEFA Champions League,3/15/23,RWF,96,64,36,56,0,0,0,0,0,0,38,30,79,0,0,0,2,0,0,3,2,67,19,5,26,2,0,0,1,11,2,18,3,2,67
Liverpool - Real Madrid 2:5,Europe. UEFA Champions League,2/21/23,"CF, RWF",96,73,40,55,1,1,3,1,33,1.28,32,28,88,1,1,100,1,1,100,6,3,50,26,9,35,0,0,0,0,10,1,10,2,2,100
Liverpool - Napoli 2:0,Europe. UEFA Champions League,11/1/22,RWF,101,61,33,54,1,0,3,2,67,1.4,29,22,76,2,1,50,1,0,0,6,3,50,19,7,37,2,0,0,1,13,1,8,1,1,100
Ajax - Liverpool 0:3,Europe. UEFA Champions League,10/26/22,CF,94,47,23,49,1,1,3,1,33,0.28,20,17,85,0,0,0,0,0,0,1,1,100,11,4,36,0,0,0,1,8,2,25,2,1,50
Rangers - Liverpool 1:7,Europe. UEFA Champions League,10/12/22,CF,24,11,9,82,3,0,4,4,100,0.67,5,3,60,1,0,0,1,1,100,1,1,100,2,2,100,0,0,0,0,1,0,0,0,0,0
Liverpool - Rangers 2:0,Europe. UEFA Champions League,10/4/22,"CF, RAMF",94,82,53,65,1,0,5,3,60,1.08,49,41,84,2,2,100,1,0,0,4,3,75,14,8,57,1,0,0,1,8,0,0,3,3,100
Liverpool - Ajax 2:1,Europe. UEFA Champions League,9/13/22,RWF,96,58,28,48,1,0,3,1,33,0.53,29,22,76,0,0,0,0,0,0,3,1,33,17,5,29,1,1,100,1,10,1,10,1,1,100
Napoli - Liverpool 4:1,Europe. UEFA Champions League,9/7/22,RWF,64,28,14,50,0,0,3,1,33,0.13,17,12,71,1,0,0,3,0,0,1,0,0,4,1,25,1,0,0,0,6,1,17,0,0,0
Liverpool - Real Madrid 0:1,Europe. UEFA Champions League,5/28/22,"RAMF, RWF",100,84,53,63,0,0,8,6,75,1.45,39,34,87,0,0,0,1,0,0,11,6,55,26,12,46,1,1,100,2,13,0,0,4,3,75
Villarreal - Liverpool 2:3,Europe. UEFA Champions League,5/3/22,RWF,94,50,24,48,0,1,2,0,0,0.39,18,14,78,0,0,0,0,0,0,3,2,67,18,9,50,1,1,100,0,6,3,50,3,2,67
Liverpool - Villarreal 2:0,Europe. UEFA Champions League,4/27/22,RWF,94,74,35,47,0,1,4,0,0,0.26,32,25,78,2,1,50,2,0,0,4,1,25,28,7,25,4,1,25,0,10,0,0,1,1,100
Liverpool - Benfica 3:3,Europe. UEFA Champions League,4/13/22,RWF,38,42,24,57,0,0,2,0,0,0.08,28,23,82,0,0,0,0,0,0,4,1,25,7,1,14,0,0,0,1,4,0,0,2,1,50
Benfica - Liverpool 1:3,Europe. UEFA Champions League,4/5/22,RWF,61,56,32,57,0,0,2,2,100,0.43,32,27,84,0,0,0,2,1,50,5,1,20,10,1,10,0,0,0,1,13,1,8,0,0,0
Liverpool - Internazionale 0:1,Europe. UEFA Champions League,3/8/22,RWF,102,79,37,47,0,0,2,0,0,0.53,39,31,79,0,0,0,2,0,0,8,1,13,31,5,16,2,0,0,1,16,3,19,4,4,100
Internazionale - Liverpool 0:2,Europe. UEFA Champions League,2/16/22,RWF,95,69,28,41,1,0,2,1,50,0.27,29,21,72,1,1,100,3,0,0,1,0,0,28,6,21,3,1,33,2,11,0,0,5,4,80
Milan - Liverpool 1:2,Europe. UEFA Champions League,12/7/21,RWF,66,49,34,69,1,0,3,2,67,0.52,29,27,93,1,1,100,2,1,50,5,4,80,12,6,50,0,0,0,1,8,2,25,6,6,100
Liverpool - Porto 2:0,Europe. UEFA Champions League,11/24/21,RWF,73,44,26,59,1,0,3,2,67,0.22,23,16,70,1,0,0,2,0,0,5,2,40,12,7,58,0,0,0,0,4,1,25,1,1,100
Liverpool - Atlético Madrid 2:0,Europe. UEFA Champions League,11/3/21,RWF,97,103,68,66,0,0,4,2,50,0.66,56,49,88,1,0,0,2,1,50,18,7,39,37,16,43,2,0,0,1,15,1,7,2,2,100
Atlético Madrid - Liverpool 2:3,Europe. UEFA Champions League,10/19/21,RWF,94,54,34,63,2,0,2,2,100,0.79,32,26,81,0,0,0,3,1,33,4,3,75,16,5,31,2,0,0,0,10,1,10,1,1,100
Porto - Liverpool 1:5,Europe. UEFA Champions League,9/28/21,RWF,68,45,30,67,2,0,2,2,100,1.17,24,21,88,1,0,0,0,0,0,3,1,33,16,6,38,1,0,0,1,3,1,33,3,3,100
