match,competition,date,position,minutes_played,total_actions,total_actions_successful,TAS_percent,goals,assists,shots,shots_on_target,SOT_percent,xG,passes,passes_accurate,PA_percent,long_passes,long_passes_accurate,LPA_percent,crosses,crosses_accurate,CA_percent,dribbles,dribbles_successful,DS_percent,duels,duels_won,DW_percent,aerial_duels,aerial_duels_won,ADW_percent,interceptions,losses,losses_own_half,LOH_percent,recoveries,recoveries_opp_half,ROPH_percent
Chelsea - Real Madrid 0:2,Europe. UEFA Champions League,4/18/23,AMF,95,67,43,64,0,0,2,0,0,0.78,40,35,88,1,1,100,5,3,60,1,1,100,17,7,41,1,0,0,2,6,4,67,5,3,60
Real Madrid - Chelsea 2:0,Europe. UEFA Champions League,4/12/23,RCMF3,75,68,38,56,0,0,0,0,0,0,40,32,80,1,0,0,2,1,50,2,1,50,16,5,31,3,0,0,3,12,9,75,7,1,14
Real Madrid - Chelsea 2:3 (E),Europe. UEFA Champions League,4/12/22,RCMF,104,118,83,70,0,0,0,0,0,0,87,74,85,6,2,33,0,0,0,2,0,0,15,7,47,1,0,0,9,14,5,36,12,6,50
Chelsea - Real Madrid 1:3,Europe. UEFA Champions League,4/6/22,RCMF,46,26,15,58,0,0,1,0,0,0.01,18,15,83,1,1,100,1,0,0,0,0,0,3,0,0,0,0,0,3,2,1,50,3,1,33
Lille - Chelsea 1:2,Europe. UEFA Champions League,3/16/22,"LCMF, RCMF, RCMF3",98,84,44,52,0,0,0,0,0,0,45,39,87,5,3,60,0,0,0,4,1,25,23,4,17,1,1,100,5,9,3,33,4,2,50
Chelsea - Lille 2:0,Europe. UEFA Champions League,2/22/22,"RCMF, RCMF3",95,95,64,67,0,1,0,0,0,0,55,48,87,6,6,100,2,1,50,1,0,0,26,11,42,2,0,0,4,12,6,50,6,3,50
Chelsea - Juventus 4:0,Europe. UEFA Champions League,11/23/21,RCMF,37,31,23,74,0,0,0,0,0,0,17,16,94,0,0,0,1,1,100,2,2,100,10,6,60,1,0,0,2,3,0,0,5,3,60
Chelsea - Malmö FF 4:0,Europe. UEFA Champions League,10/20/21,RCMF,68,74,61,82,0,0,1,0,0,0.07,53,51,96,0,0,0,0,0,0,3,1,33,16,9,56,2,1,50,3,6,1,17,4,2,50
Manchester City - Chelsea 0:1,Europe. UEFA Champions League,5/29/21,RCMF,101,66,44,67,0,0,1,0,0,0.12,33,28,85,4,1,25,0,0,0,3,3,100,20,15,75,5,4,80,7,12,5,42,8,2,25
Chelsea - Real Madrid 2:0,Europe. UEFA Champions League,5/5/21,RCMF,95,56,35,63,0,0,1,0,0,0.21,36,31,86,3,0,0,0,0,0,1,1,100,7,3,43,2,1,50,3,3,1,33,7,3,43
Real Madrid - Chelsea 1:1,Europe. UEFA Champions League,4/27/21,RCMF3,94,110,70,64,0,0,0,0,0,0,59,49,83,0,0,0,2,0,0,4,1,25,27,12,44,2,0,0,5,11,6,55,5,4,80
Chelsea - Porto 0:1,Europe. UEFA Champions League,4/13/21,RCMF,96,77,49,64,0,0,0,0,0,0,42,34,81,5,2,40,0,0,0,1,1,100,22,13,59,3,2,67,5,12,9,75,11,3,27
Porto - Chelsea 0:2,Europe. UEFA Champions League,4/7/21,RCMF3,15,12,8,67,0,0,0,0,0,0,8,6,75,0,0,0,0,0,0,1,1,100,3,1,33,0,0,0,0,2,1,50,0,0,0
Chelsea - Atlético Madrid 2:0,Europe. UEFA Champions League,3/17/21,RCMF,95,101,79,78,0,0,0,0,0,0,79,72,91,3,3,100,0,0,0,3,0,0,13,5,38,1,0,0,11,10,3,30,13,9,69
Atlético Madrid - Chelsea 0:1,Europe. UEFA Champions League,2/23/21,LCMF,23,27,15,56,0,0,0,0,0,0,13,10,77,1,0,0,0,0,0,4,1,25,12,5,42,2,1,50,1,4,1,25,3,1,33
