match,competition,date,position,minutes_played,total_actions,total_actions_successful,TAS_percent,goals,assists,shots_on_target,shots_on_target,SOT_percent,xG,passes,passes_accurate,PA_percent,long_passes,long_passes_accurate,LPA_percent,crosses,crosses_accurate,CA_percent,dribbles,dribbles_successful,DS_percent,duels,duels_won,DW_percent,aerial_duels_won,aerial_duels_won,ADW_percent,interceptions,losses,losses_own_half,LOH_percent,recoveries,recoveries_opp_half,ROPH_percent
Manchester City - Real Madrid 4:0,Europe. UEFA Champions League,5/17/23,"AMF, RAMF",81,61,26,43,0,0,0,0,0,0,21,17,81,1,0,0,2,0,0,2,2,100,17,8,47,1,1,100,5,5,2,40,3,1,33
Real Madrid - Manchester City 1:1,Europe. UEFA Champions League,5/9/23,RWF,84,51,32,63,0,0,1,0,0,0.05,28,23,82,0,0,0,3,1,33,6,3,50,15,8,53,0,0,0,3,7,2,29,6,6,100
Chelsea - Real Madrid 0:2,Europe. UEFA Champions League,4/18/23,RWF,83,66,33,50,2,0,3,2,67,0.55,33,26,79,0,0,0,5,1,20,6,3,50,17,5,29,1,1,100,3,8,3,38,4,2,50
Real Madrid - Chelsea 2:0,Europe. UEFA Champions League,4/12/23,RWF,71,80,51,64,0,0,1,1,100,0.11,46,41,89,1,0,0,1,0,0,6,3,50,21,7,33,2,1,50,3,12,3,25,3,2,67
Real Madrid - Liverpool 1:0,Europe. UEFA Champions League,3/15/23,CF,13,5,2,40,0,0,1,1,100,0.08,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Liverpool - Real Madrid 2:5,Europe. UEFA Champions League,2/21/23,RWF,83,48,30,63,0,1,1,0,0,0.04,25,22,88,3,2,67,2,1,50,3,3,100,12,8,67,1,1,100,1,3,1,33,6,1,17
Real Madrid - Celtic 5:1,Europe. UEFA Champions League,11/2/22,"CF, LW",91,69,47,68,1,0,4,2,50,1.38,45,39,87,0,0,0,0,0,0,3,1,33,10,4,40,3,0,0,1,11,1,9,3,2,67
RB Leipzig - Real Madrid 3:2,Europe. UEFA Champions League,10/25/22,"CF, RWF",94,83,59,71,1,0,4,3,75,1.1,48,47,98,2,2,100,0,0,0,8,2,25,15,6,40,0,0,0,1,7,0,0,1,1,100
Shakhtar Donetsk - Real Madrid 1:1,Europe. UEFA Champions League,10/11/22,"LAMF, RAMF, RW",69,67,40,60,0,0,1,1,100,0.05,36,31,86,2,0,0,2,0,0,9,3,33,19,8,42,1,0,0,6,12,0,0,3,3,100
Real Madrid - Shakhtar Donetsk 2:1,Europe. UEFA Champions League,10/5/22,RWF,81,68,50,74,1,1,4,2,50,0.37,44,40,91,0,0,0,0,0,0,5,5,100,14,8,57,3,1,33,3,7,0,0,5,5,100
Real Madrid - RB Leipzig 2:0,Europe. UEFA Champions League,9/14/22,CF,85,66,28,42,0,0,3,0,0,0.11,24,21,88,0,0,0,0,0,0,8,3,38,18,5,28,2,0,0,2,9,1,11,2,2,100
Celtic - Real Madrid 0:3,Europe. UEFA Champions League,9/6/22,LWF,12,12,5,42,0,0,1,0,0,0.11,5,4,80,0,0,0,0,0,0,2,1,50,2,1,50,0,0,0,1,1,0,0,1,1,100
Liverpool - Real Madrid 0:1,Europe. UEFA Champions League,5/28/22,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real Madrid - Manchester City 3:1 (E),Europe. UEFA Champions League,5/4/22,"RW, RWF",64,49,26,53,2,0,3,3,100,0.75,13,10,77,0,0,0,0,0,0,3,1,33,23,11,48,7,1,14,4,16,8,50,6,2,33
Manchester City - Real Madrid 4:3,Europe. UEFA Champions League,4/26/22,"RW, RWF",70,41,23,56,0,0,1,1,100,0.02,17,16,94,0,0,0,0,0,0,1,0,0,14,6,43,2,1,50,2,3,2,67,3,1,33
Real Madrid - Chelsea 2:3 (E),Europe. UEFA Champions League,4/12/22,RW,50,36,10,28,1,0,1,1,100,0.28,6,3,50,1,0,0,0,0,0,2,1,50,15,6,40,3,0,0,6,6,2,33,5,1,20
Real Madrid - PSG 3:1,Europe. UEFA Champions League,3/9/22,RWF,37,37,21,57,0,0,3,0,0,0.64,17,14,82,0,0,0,4,2,50,4,4,100,10,7,70,0,0,0,3,5,0,0,2,2,100
PSG - Real Madrid 1:0,Europe. UEFA Champions League,2/15/22,RWF,23,25,11,44,0,0,1,0,0,0.07,11,10,91,0,0,0,1,1,100,1,0,0,7,1,14,0,0,0,1,3,0,0,1,1,100
Real Madrid - Internazionale 2:0,Europe. UEFA Champions League,12/7/21,RW,78,60,36,60,0,0,5,1,20,0.43,29,28,97,2,2,100,0,0,0,4,3,75,15,7,47,0,0,0,3,3,1,33,3,1,33
Sheriff - Real Madrid 0:3,Europe. UEFA Champions League,11/24/21,RWF,85,80,47,59,0,1,4,2,50,0.24,43,38,88,0,0,0,2,1,50,5,1,20,20,7,35,2,1,50,4,10,1,10,2,1,50
Shakhtar Donetsk - Real Madrid 0:5,Europe. UEFA Champions League,10/19/21,RWF,78,78,53,68,1,0,3,1,33,0.47,48,40,83,4,2,50,1,0,0,7,3,43,17,8,47,1,0,0,4,10,3,30,3,1,33
Real Madrid - Sheriff 1:2,Europe. UEFA Champions League,9/28/21,RW,32,25,21,84,0,0,1,0,0,0.15,19,18,95,1,1,100,4,3,75,5,3,60,5,3,60,0,0,0,0,1,0,0,1,1,100
Internazionale - Real Madrid 0:1,Europe. UEFA Champions League,9/15/21,RWF,28,24,13,54,1,0,1,1,100,0.17,11,9,82,0,0,0,1,0,0,3,1,33,6,2,33,1,0,0,2,1,0,0,1,1,100
Chelsea - Real Madrid 2:0,Europe. UEFA Champions League,5/5/21,RWF,19,7,4,57,0,0,0,0,0,0,4,3,75,1,0,0,0,0,0,0,0,0,3,1,33,1,0,0,0,2,0,0,0,0,0
Real Madrid - Chelsea 1:1,Europe. UEFA Champions League,4/27/21,0,2,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0
