match,competition,date,position,minutes_played,total_actions ,total_actions_successful,TAS_percent,goals,assists,shots,shots_on_target,SOT_percent,xG,passes,passes_accurate,PA_accurate,long_passes,long_passes_accurate,LPA_percent,crosses,crosses_accurate,CA_percent,dribbles,dribbles_successful,DS_percent,duels,duels_won,DW_percent,aerial_duels_won,aerial_duels_won,ADW_percent,interceptions,losses,losses_own_half,LOH_percent,recoveries,recoveries_opp_half,ROPH_percent
Manchester City - Real Madrid 4:0,Europe. UEFA Champions League,5/17/23,LDMF,71,62,46,74,0,0,2,0,0,0.02,31,28,90,1,0,0,1,0,0,0,0,0,17,14,82,2,1,50,4,4,2,50,7,2,29
Real Madrid - Manchester City 1:1,Europe. UEFA Champions League,5/9/23,DMF,86,70,58,83,0,0,1,0,0,0,54,50,93,5,5,100,0,0,0,1,0,0,11,7,64,1,0,0,6,2,0,0,8,1,13
Chelsea - Real Madrid 0:2,Europe. UEFA Champions League,4/18/23,DMF,78,73,60,82,0,0,0,0,0,0,51,48,94,3,2,67,0,0,0,0,0,0,8,5,63,0,0,0,1,2,2,100,3,1,33
Real Madrid - Chelsea 2:0,Europe. UEFA Champions League,4/12/23,DMF,84,102,87,85,0,0,1,0,0,0,76,72,95,4,4,100,0,0,0,0,0,0,16,12,75,2,1,50,3,6,2,33,12,3,25
Real Madrid - Liverpool 1:0,Europe. UEFA Champions League,3/15/23,LCMF3,85,83,69,83,0,0,1,1,100,0.04,66,57,86,10,7,70,2,2,100,1,1,100,11,8,73,0,0,0,3,9,2,22,6,4,67
Liverpool - Real Madrid 2:5,Europe. UEFA Champions League,2/21/23,0,7,22,19,86,0,0,0,0,0,0,20,18,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Real Madrid - Celtic 5:1,Europe. UEFA Champions League,11/2/22,DMF,91,112,102,91,0,0,1,0,0,0.07,100,95,95,6,6,100,0,0,0,0,0,0,7,5,71,0,0,0,2,6,3,50,9,4,44
RB Leipzig - Real Madrid 3:2,Europe. UEFA Champions League,10/25/22,LDMF,76,105,92,88,0,0,0,0,0,0,94,87,93,12,8,67,0,0,0,0,0,0,6,5,83,1,1,100,5,5,2,40,8,3,38
Shakhtar Donetsk - Real Madrid 1:1,Europe. UEFA Champions League,10/11/22,"DMF, LDMF",101,138,109,79,0,1,3,0,0,0.1,110,102,93,13,9,69,3,2,67,2,0,0,17,5,29,0,0,0,3,6,0,0,13,11,85
Real Madrid - Shakhtar Donetsk 2:1,Europe. UEFA Champions League,10/5/22,LCMF3,94,108,95,88,0,0,0,0,0,0,89,86,97,9,7,78,1,0,0,1,1,100,9,6,67,1,0,0,1,6,0,0,5,2,40
