match,competition,date,position,minutes_played,total_actions,total_actions_successful,TAS_percent,goals,assists,shots,shots_on_target,SOT_percent,xG,passes,passes_accurate,PA_percent,long_passes,long_passes_accurate,LPA_percent,crosses,crosses_accurate,CA_percent,dribbles,dribbles_successful,DS_percent,duels,duels_won,DW_percent,aerial_duels,aerial_duels_won,ADW_percent,interceptions,losses,losses_own_half,LOH_percent,recoveries,recoveries_opp_half,ROPH_percent
Manchester City - Real Madrid 4:0,Europe. UEFA Champions League,5/17/23,LAMF,94,74,29,39,0,0,0,0,0,0,21,14,67,2,1,50,1,0,0,6,2,33,24,8,33,0,0,0,1,17,6,35,2,0,0
Real Madrid - Manchester City 1:1,Europe. UEFA Champions League,5/9/23,LWF,96,77,41,53,1,0,3,1,33,0.18,31,24,77,1,1,100,2,0,0,11,6,55,29,14,48,3,0,0,2,16,8,50,3,1,33
Chelsea - Real Madrid 0:2,Europe. UEFA Champions League,4/18/23,LWF,95,85,35,41,0,1,1,0,0,0.42,29,24,83,2,2,100,2,1,50,9,2,22,34,10,29,0,0,0,1,11,3,27,2,2,100
Real Madrid - Chelsea 2:0,Europe. UEFA Champions League,4/12/23,LWF,95,88,50,57,0,1,3,2,67,0.3,41,28,68,1,0,0,4,0,0,11,6,55,25,13,52,0,0,0,2,14,1,7,3,3,100
Real Madrid - Liverpool 1:0,Europe. UEFA Champions League,3/15/23,LWF,85,80,44,55,0,1,2,2,100,0.4,39,31,79,2,1,50,2,0,0,12,5,42,26,8,31,0,0,0,1,17,3,18,1,1,100
Liverpool - Real Madrid 2:5,Europe. UEFA Champions League,2/21/23,LWF,96,89,43,48,2,1,3,3,100,0.61,38,29,76,0,0,0,3,0,0,14,7,50,32,11,34,0,0,0,2,25,6,24,2,1,50
Real Madrid - Celtic 5:1,Europe. UEFA Champions League,11/2/22,LW,64,59,40,68,1,0,5,2,40,1.26,39,33,85,1,0,0,2,0,0,3,1,33,9,4,44,0,0,0,1,5,0,0,3,2,67
RB Leipzig - Real Madrid 3:2,Europe. UEFA Champions League,10/25/22,"LAMF, LWF",94,95,54,57,1,0,5,3,60,0.89,44,33,75,3,2,67,4,1,25,17,8,47,33,15,45,1,0,0,4,17,4,24,5,2,40
Shakhtar Donetsk - Real Madrid 1:1,Europe. UEFA Champions League,10/11/22,LW,44,43,26,60,0,0,2,0,0,0.3,22,16,73,2,1,50,3,2,67,7,4,57,15,10,67,1,1,100,1,7,1,14,1,1,100
Real Madrid - Shakhtar Donetsk 2:1,Europe. UEFA Champions League,10/5/22,LWF,94,96,67,70,1,0,9,4,44,1.78,50,40,80,1,0,0,3,1,33,16,10,63,30,20,67,0,0,0,3,17,3,18,4,3,75
Real Madrid - RB Leipzig 2:0,Europe. UEFA Champions League,9/14/22,LW,85,64,33,52,0,0,1,1,100,0.27,30,23,77,2,2,100,1,1,100,9,3,33,21,8,38,1,0,0,0,15,0,0,1,1,100
Celtic - Real Madrid 0:3,Europe. UEFA Champions League,9/6/22,LWF,81,72,44,61,1,0,3,3,100,0.36,35,31,89,2,1,50,1,1,100,11,4,36,24,8,33,0,0,0,1,10,1,10,0,0,0
Liverpool - Real Madrid 0:1,Europe. UEFA Champions League,5/28/22,LWF,96,77,38,49,1,0,1,1,100,0.32,29,27,93,0,0,0,1,0,0,7,2,29,26,7,27,1,0,0,4,9,3,33,5,2,40
Real Madrid - Manchester City 3:1 (E),Europe. UEFA Champions League,5/4/22,"LAMF, LW, LWF",126,82,34,41,0,0,2,0,0,0.65,27,21,78,3,2,67,3,1,33,17,3,18,40,11,28,0,0,0,2,14,1,7,5,4,80
Manchester City - Real Madrid 4:3,Europe. UEFA Champions League,4/26/22,"LW, LWF",89,56,23,41,1,0,3,1,33,0.12,15,12,80,0,0,0,0,0,0,7,5,71,17,6,35,0,0,0,3,6,2,33,0,0,0
Real Madrid - Chelsea 2:3 (E),Europe. UEFA Champions League,4/12/22,"LW, LWF",120,85,42,49,0,1,0,0,0,0,34,26,76,0,0,0,4,2,50,10,6,60,29,13,45,0,0,0,2,14,4,29,3,1,33
Chelsea - Real Madrid 1:3,Europe. UEFA Champions League,4/6/22,LWF,97,49,22,45,0,1,1,0,0,0.24,16,13,81,1,1,100,1,1,100,5,2,40,18,7,39,0,0,0,0,4,1,25,0,0,0
Real Madrid - PSG 3:1,Europe. UEFA Champions League,3/9/22,LWF,96,98,53,54,0,1,3,1,33,0.86,40,35,88,1,1,100,2,1,50,15,10,67,37,16,43,0,0,0,3,11,2,18,5,5,100
PSG - Real Madrid 1:0,Europe. UEFA Champions League,2/15/22,LWF,82,59,23,39,0,0,0,0,0,0,19,13,68,0,0,0,0,0,0,7,3,43,19,9,47,0,0,0,1,7,1,14,2,0,0
Real Madrid - Internazionale 2:0,Europe. UEFA Champions League,12/7/21,LW,81,82,53,65,0,0,2,0,0,0.08,35,31,89,1,1,100,2,0,0,11,6,55,24,13,54,0,0,0,0,9,2,22,3,2,67
Sheriff - Real Madrid 0:3,Europe. UEFA Champions League,11/24/21,LWF,96,93,67,72,0,0,0,0,0,0,63,56,89,2,1,50,2,2,100,10,5,50,17,10,59,0,0,0,2,8,0,0,5,3,60
Real Madrid - Shakhtar Donetsk 2:1,Europe. UEFA Champions League,11/3/21,LW,94,108,56,52,0,2,1,0,0,0.19,45,37,82,1,1,100,2,1,50,9,4,44,35,14,40,0,0,0,2,11,3,27,8,5,63
Shakhtar Donetsk - Real Madrid 0:5,Europe. UEFA Champions League,10/19/21,LWF,93,88,53,60,2,1,6,3,50,0.91,40,33,83,0,0,0,3,1,33,11,5,45,26,10,38,2,1,50,2,12,1,8,0,0,0
Real Madrid - Sheriff 1:2,Europe. UEFA Champions League,9/28/21,LW,97,102,61,60,0,0,5,2,40,0.35,53,40,75,1,1,100,7,2,29,16,6,38,31,15,48,1,0,0,4,16,0,0,8,5,63
Internazionale - Real Madrid 0:1,Europe. UEFA Champions League,9/15/21,LWF,92,69,29,42,0,0,4,0,0,0.48,23,22,96,0,0,0,1,1,100,11,4,36,24,6,25,0,0,0,2,6,0,0,1,1,100
Chelsea - Real Madrid 2:0,Europe. UEFA Champions League,5/5/21,RWB,62,66,35,53,0,0,0,0,0,0,28,24,86,0,0,0,2,1,50,6,2,33,24,11,46,0,0,0,1,8,5,63,3,0,0
Real Madrid - Chelsea 1:1,Europe. UEFA Champions League,4/27/21,"AMF, CF",65,44,18,41,0,0,0,0,0,0,16,13,81,1,0,0,1,0,0,2,1,50,12,3,25,2,0,0,1,5,3,60,2,0,0
Liverpool - Real Madrid 0:0,Europe. UEFA Champions League,4/14/21,LW,74,57,31,54,0,0,2,2,100,0.16,26,24,92,0,0,0,1,0,0,7,2,29,19,3,16,0,0,0,3,3,1,33,4,1,25
Real Madrid - Liverpool 3:1,Europe. UEFA Champions League,4/6/21,LWF,85,71,39,55,2,0,4,2,50,0.35,28,23,82,1,0,0,1,1,100,9,3,33,20,9,45,0,0,0,4,9,2,22,3,3,100
Real Madrid - Atalanta 3:1,Europe. UEFA Champions League,3/16/21,LW,68,57,30,53,0,0,2,0,0,0.49,21,19,90,0,0,0,1,1,100,11,7,64,22,11,50,1,0,0,1,10,3,30,5,3,60
Atalanta - Real Madrid 0:1,Europe. UEFA Champions League,2/24/21,LWF,60,46,23,50,0,0,2,0,0,0.4,20,15,75,0,0,0,0,0,0,11,6,55,18,7,39,0,0,0,1,12,4,33,0,0,0
